label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
short,0.0066,,,,,,,,,,,,,91700,91700,91700,91700,92700,92700,92700,92200,92200,92200,92200,92700,92700,92700,92700,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,93200,92700,92700,92700,,T0000190,WK
flat-z,0.0568,,,44400,,,44900,44900,44900,45400,44400,44400,44400,,,44400,,,45400,45400,,,,,,,,48300,49300,49800,49800,49800,,50200,50200,50200,50200,,,,,,,,,,,50200,50200,,,T0000190,WK
flat-mz,0.0967,,45800,,45800,,,,,,,,,,,,,,,,50200,,,44400,,,,,,,44400,44400,44900,45800,,,46800,,49300,49800,49800,50200,50200,50200,50200,49800,49300,49300,47300,46300,,T0000190,WK
complex,0.0778,,44900,45800,46300,49800,49800,49800,46300,45800,44900,,,,,43900,44400,45400,46300,46800,50700,51200,51700,52700,52700,53200,53200,52700,52700,51700,51200,,46300,45800,45800,45400,45800,45800,46300,46800,,51200,51700,51700,52200,51700,51700,51200,51200,50700,50200,T0000190,WK
complex,0.0972,45800,45800,46300,46300,45800,,,,,,,,,,,45400,46300,46300,49300,50200,50200,,46300,46300,,,,,,46300,46800,,50700,51700,52700,53700,53700,53700,53200,52200,52200,51700,51200,50700,50200,49800,49800,49800,,,T0000190,WK
complex,0.0942,43900,44400,45800,46300,,46300,45800,45400,44900,43900,,43400,43900,44400,45400,46300,,49800,50700,51700,52200,52200,52700,52700,52700,52200,52700,52700,52200,52200,52200,51700,51700,51700,51200,51200,50700,50700,50700,50700,50200,50200,50200,49800,49300,,47800,47800,47800,47800,T0000190,WK
short,0.0107,,,,,,,,51200,51200,51200,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,53200,53200,53200,52700,52700,52700,52700,,,,,,52700,52700,53200,53200,53200,52700,52700,52700,52700,53700,53700,53700,,,,,,T0000190,WK
flat,0.0537,,,,59000,58500,,,58500,59000,59000,59000,59000,59000,59500,59000,59000,59000,59000,59000,59000,59000,58500,58500,58500,58500,58100,58100,,57600,57600,57100,57100,,,,,,55600,55600,55600,55600,56100,55600,,,,,53700,54100,54100,T0000190,WK
flat,0.0245,,,,,,,,,,,,21900,21900,22900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23400,,,,,T0000190,WK
flat,0.0143,,,,,52200,52200,52200,52200,52200,52200,52200,,,53200,52200,52200,52700,52700,53200,53200,52200,27300,27300,52200,52200,52200,52200,52200,,,52200,52200,52200,52200,52700,51700,51700,,,,,,,,,,,,,,T0000190,WK
flat,0.0404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000190,WK
flat-mz,0.1239,,42900,,,42900,,,39000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,43900,43900,T0000195,SD
flat,0.1008,,38500,39000,39000,39000,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,39500,39500,39500,39500,39500,39500,39000,39500,39000,39500,39500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,38500,40000,40000,39000,T0000195,SD
flat-mz,0.1182,,,37500,38000,38000,38500,38500,39000,39000,39000,39000,39000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39500,39500,39500,39500,43400,43400,43400,43400,43400,43400,43400,43400,43900,43900,44900,42900,,T0000195,SD
flat-mz,0.0645,,37500,38500,38500,39000,39000,39000,39000,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,41000,41000,41000,41500,44900,44900,44900,44900,44900,44900,44900,44900,44900,45400,45400,45400,45800,45400,45400,45400,44900,41500,,T0000195,SD
short,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000195,SD
complex,0.0706,,48300,48800,49300,49800,50200,50200,50200,50700,51200,51200,51200,51700,51700,51200,51700,51700,51200,51200,50700,49800,49800,49300,48300,47800,,,,,,,,,,45800,46300,46800,47300,47300,47800,47800,47800,47800,47800,47800,47800,47300,47300,,,T0000195,SD
flat,0.0757,,,,,,,,,,,,,,,,65400,,,,,,,,,,,,,,,,,,,,,,,,,,,50200,,,,,53200,,,T0000195,SD
flat,0.1669,44400,,44400,44400,,44400,,,,,,,42900,,42900,42900,42900,,,,65400,,,,,,,,,,,,17000,18000,18000,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0885,,,,47800,48300,48800,48800,,48800,48800,48800,48800,48800,48300,48300,48300,15100,,19500,,,,,20900,20500,,,46300,45800,45800,45400,,,,45400,45400,45400,45400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,,19000,T0000195,SD
flat,0.1315,,,,,,,,45800,45800,45800,45800,45400,45400,45400,44900,44900,,44400,44400,,,,,,,,,44900,44400,44400,,,,,44400,44400,,44400,,44400,43900,44400,43400,,43400,,,,,,T0000195,SD
flat,0.0624,,,,,,42900,43400,42900,42900,42900,,,,,,,,,,,,42900,,,42900,,,,,,,,,,,,,,,,,,42400,,,,,,,,T0000195,SD
flat,0.089,,,,,,,,,,,,,,,,,,,,,,,,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0358,,,,,,,,,,,,44900,45400,45400,45400,,,45400,45400,45800,45800,45400,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46300,46800,46300,,,,,,,,,45800,,,,,,T0000195,SD
flat,0.0711,,,,,,,,,47800,47800,47800,47800,47800,47300,46800,,,,,,,46800,,,,47300,47300,,47800,,47800,47300,47300,47800,47800,,,,,47800,47800,47300,,,,,,,,,T0000195,SD
inverted-u,0.0399,,,,,52700,52700,53200,,,,,54600,54600,54600,54600,54600,55100,55100,55100,55100,55100,55100,55600,55100,55600,55600,55100,55600,55100,55100,55100,55100,55100,54600,54600,54600,54600,54600,54100,53700,53700,53700,53200,52700,,52200,,,,,T0000195,SD
flat,0.1525,,51200,52700,53200,53700,53200,52700,52200,51700,50700,50200,49800,49800,48800,48300,48300,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,,46300,,46300,46300,,,,,,45400,,,,,45800,,,46800,46800,,T0000195,SD
flat,0.171,,,52200,52700,52200,52200,51700,50700,50200,49800,49300,49300,48800,48300,47800,47800,47800,47300,47300,46800,46800,46800,46300,46300,46300,46300,45800,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,45800,,45400,45400,45400,,45400,,45400,45400,45400,44900,,T0000195,SD
flat,0.1177,,45800,45800,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,45400,45400,45400,45400,45400,45400,45800,45800,45800,45400,45400,45400,45800,45800,45800,45800,45800,45800,45800,45800,45800,45400,T0000195,SD
trill,0.0532,,,60500,,,,,,,,,61500,,,,,,,,,,,,,,,,,,,,65900,,,,,,,,,,,,,,62500,61500,,,,T0000195,SD
flat,0.1172,,,,49300,,,,,,,,,50700,51200,,,,,,,,,,,,,,,,,,51700,51700,52200,52200,52200,52200,52200,52200,,,,,,51700,52200,,,52200,50200,T0000195,SD
flat,0.1044,,,43400,43400,43900,42900,43400,43400,42900,43900,42900,43400,,,,,,,,,,,,,,,,,,,,,,43400,43400,43400,43400,,43900,,,,,,,,,,,,T0000195,SD
short,0.0066,,,,,,,,,,,,,69800,69800,69800,69800,,,,,,,,,,,,,,,,,,,,,,,70300,70300,70300,70300,,,,,,,,,T0000195,SD
flat,0.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0839,,,,,,,,,44400,,,44400,44400,,,,44400,,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,,44400,44400,44400,44400,44400,44400,44400,43900,44400,43900,43900,43900,44400,44400,44400,44400,44400,44900,44900,44900,44400,T0000195,SD
flat,0.1305,40000,40000,40000,40500,40000,40500,40000,,,,40000,39500,39500,39500,,,,,39500,,39000,39000,38500,38500,38500,,,,,,,,,,,,,,65400,,,,,,,,,,,,T0000195,SD
flat,0.0752,,,,,,40000,40000,40000,40500,40000,40000,40000,,,,,,39500,39500,,,,,,,,,,,38500,,,,,,,,,,,,,,,,,,,,,T0000195,SD
short-c,0.0056,66400,66400,66400,66400,66400,,,,,,,,,,,,,,,,,,,,,,,66400,66400,66400,66400,66400,,,,,66400,66400,66400,66400,66400,,,,,,,,,,T0000195,SD
short-ur,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64400,64400,64400,64400,64400,64400,64400,,,,,,,,,T0000195,SD
flat,0.0747,,49800,50200,50200,50700,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,49800,,,,,,49800,49800,49800,49800,49800,49300,49300,49300,49300,49300,48800,48800,48800,48800,48300,48300,47800,47800,,,T0000195,SD
flat,0.0476,,,,,49300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0389,,,50700,51200,51200,51200,51700,52200,51700,52200,52200,52200,52700,52700,52700,52700,53200,52700,52700,52700,53200,53200,53200,53200,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,52700,52700,53200,52700,52700,52700,,,,,T0000195,SD
inverted-u,0.0291,,,50200,50700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50700,50700,50700,,,,,,,,,,,,,T0000195,SD
flat,0.066,,,,,49800,,50700,51200,51200,51200,51700,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,49800,49800,49800,49300,49300,49300,49300,48800,48800,48800,48800,48300,48800,,,T0000195,SD
flat,0.0363,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,51700,52200,52200,51700,52200,52200,51700,51700,52200,51700,51700,52200,52200,52200,52200,52200,52200,52200,52700,52200,52200,52700,52700,52700,53700,53200,53700,53700,53700,53700,53700,53700,53700,53700,,,,,T0000195,SD
flat,0.0348,,52700,52700,52700,,52700,53700,53700,53700,53700,53700,53700,53700,,,,54100,54100,53700,53700,54100,,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,,54100,,54100,54100,54100,,,,,,,,,T0000195,SD
flat,0.0445,,,52700,52700,53700,53200,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,,54100,53700,54100,54100,54100,54100,54100,54100,,,54100,54100,54100,54600,54600,54100,,,T0000195,SD
flat,0.0368,,,,,,,,49300,49800,,,,50200,,,,,50700,52200,52200,52200,52200,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,,53200,,53200,53200,,,,,,53200,52700,,,,,64900,T0000195,SD
flat,0.0424,,,,,,,,,,,,,,,,48800,48800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46800,,T0000195,SD
flat,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0988,,,,47800,48300,48300,48300,48300,48300,47800,47800,47800,,,47300,47300,46800,46800,46800,46800,,,,,,,46300,46300,46300,45800,45800,,,,,,,65400,45800,,45800,46300,46300,46300,46800,47300,47300,46300,45800,,T0000195,SD
flat,0.0245,,,,,,,,,,,,,,,,,43900,44400,,,,,,,,,,,,,,,,,,,,,,,,,43400,43400,43400,43400,43400,43400,,,T0000195,SD
flat,0.0465,,,,,,,,65400,,,,,,,,,,,,,,,,43400,43400,43400,43400,43900,43900,43400,43400,43400,43400,43900,43400,43900,43900,43900,43400,43900,,,,43900,43900,43900,43400,43900,43400,,T0000195,SD
flat,0.0865,43400,43400,43900,43900,43400,43900,43900,43900,43900,,,,,,43400,,,65900,,,,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,,,,,,42900,42900,42900,42900,42900,42900,,,,43400,42900,,,T0000195,SD
flat-mz,0.0583,,,,39000,39000,39000,,,,43400,43400,43400,43900,43900,43900,43900,44400,44400,43900,44400,44400,43900,43900,43900,,,,,44400,44400,44400,43900,43900,44400,43900,44400,43900,43900,,43400,,,,43400,43400,,42900,,,,T0000195,SD
flat-mz,0.0409,38500,38500,39500,39000,,41900,41900,41900,42400,42400,42400,42400,42400,42400,,,,,,42400,42900,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42900,42900,42400,42900,42900,42900,42900,42400,,,,38000,38500,,T0000195,SD
flat-mz,0.0424,,,,,,39000,39000,,,,,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,,,,42400,,,,,,,,,,,,,,,,42900,42900,,42900,,,,,,T0000195,SD
flat,0.0148,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43900,43900,44400,44400,43400,43400,T0000195,SD
short,0.0102,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50200,50200,50200,50200,50200,50200,50200,50200,,,,,,T0000195,SD
trill,0.0168,,,,57100,57100,57600,57100,57100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61500,61000,61000,61000,,,,,,T0000195,SD
flat-z,0.2242,,43900,43900,,,44900,44900,,44900,,,44900,44900,44400,44400,43900,43900,42900,,,43400,43400,42900,42900,42900,42900,42900,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,,41900,41900,41500,41500,41000,38500,,38500,,T0000195,SD
flat,0.2974,38500,,,,,,39000,,,,,39500,,,,,,,42400,,,42400,43400,,,43400,,42400,42400,,,39500,,39500,39500,39500,,42400,41900,,,42400,41900,41500,41500,41500,41000,39000,38000,,T0000195,SD
flat,0.3328,,38500,38500,38500,38500,,,38000,38000,,37100,,,,,38500,,,38500,38500,39000,38000,,38500,38500,38500,39000,39000,38500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,38500,,38500,38000,37500,,,,38000,,,T0000195,SD
flat,0.2621,38000,38500,38500,38500,38500,39000,38500,38500,38500,38000,38000,37500,37500,,,,38000,37500,37500,,37500,37500,,,,,38000,,,,37500,37500,37500,37500,,38000,37500,,38000,38000,38000,38000,,37500,37500,,37100,37100,36600,,T0000195,SD
flat,0.1628,,,,,37500,37500,,37500,37500,,,,,38000,37100,,,,37100,37500,38000,38000,38000,,38000,38500,,38500,38500,38500,38500,38500,38500,38000,38500,38000,38000,38000,38000,38000,38000,37500,37500,37500,37500,37100,37100,38000,38000,,T0000195,SD
flat,0.153,,,,,36600,,,37500,37100,37100,37100,,,,,,37100,,36100,36100,36100,36100,,36100,,,,,,,,,,,,,,36600,37100,36600,36600,36600,36600,37100,36600,36600,36600,36100,,,T0000195,SD
flat,0.0389,,,,,,36100,,,,,,,,,,37500,37500,38000,38000,38000,38000,,38000,38000,38000,,,,38500,38000,38000,38000,38000,38000,37500,38000,37500,37500,37100,37100,37500,37100,37100,,,37100,,,,,T0000195,SD
flat,0.1223,,36100,36100,36600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600,36100,,,36100,36100,36100,,36600,36100,36100,36100,36100,36100,36100,35600,,,T0000195,SD
flat,0.1832,,,,,,,36600,,,,,,,36600,37100,36600,36100,,,,,,,36600,,36600,36100,,36600,36600,37100,36600,37100,37500,37500,37500,37500,,,37100,,37100,37100,37100,36600,,,,,,T0000195,SD
flat,0.0419,37100,37100,37100,37500,37500,37500,37500,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37100,37100,37100,37100,37100,36600,36600,,36600,36600,,,36100,,,T0000195,SD
flat,0.0358,,,,,,,,,,,,,,,39000,,,,65400,39500,39000,39000,39000,39500,39500,,,,39000,39000,39000,39000,39000,38500,38500,39000,38500,39000,,,38500,38500,,,,,,,65400,,T0000195,SD
flat,0.0399,,,,,,,,,,,,,,,,,,,,,,,,39000,39000,39000,,,,,,38500,38500,38500,,,65900,,,,,,,,,,38500,38500,,,T0000195,SD
flat,0.0363,,,39000,38500,38500,39000,38500,,,,,,38500,38500,38500,,38500,,,,,,,,,,38000,,,,,,,,,,,38000,38000,38000,38000,38000,38500,38000,38000,38000,38000,,,,T0000195,SD
flat,0.1889,,48300,49800,49800,49800,49800,49300,49300,49300,49800,49300,49800,49800,49800,49800,50200,50200,49800,50200,50200,50200,49800,49300,49300,49300,48800,48800,,,47800,47300,48300,48800,48800,48300,47800,47800,,,,45800,45400,,,,,44400,,,,T0000195,SD
flat,0.1367,,,,,44400,45800,46300,46300,46300,46300,46300,,46300,45800,45800,45800,45400,45400,45400,45400,45400,45400,45800,45800,45800,46300,,,,,,,50200,50700,50200,49800,49300,49300,48800,48800,48800,48300,47300,46800,46800,46300,45800,,,,T0000195,SD
flat,0.0778,,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,,43400,,43900,43900,43900,43900,43900,43400,,,44400,,,43400,43400,43400,43400,43400,42900,42900,42900,42900,,,,,,,,,,,,,,T0000195,SD
flat,0.1679,,39500,40000,42400,42400,42400,42400,42400,42400,41900,41500,41900,41500,41500,41000,,40500,40500,39000,39000,38500,38500,39000,39000,39500,40000,40500,41000,41000,41000,41500,41500,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,40500,40500,40500,40000,40000,39500,39000,T0000195,SD
flat,0.0128,,,,,,,,,,,,,47300,47300,46300,46300,46800,46800,46800,46800,46800,46800,46300,46300,47300,47300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,45800,45800,,,,,,,,,T0000195,SD
flat,0.0455,,,,,,,,,,,,,43400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40500,,,,T0000195,SD
flat,0.0465,,,,,,,42900,,,,,,,43900,43900,,,44400,44400,44900,44400,44900,44900,44900,44900,45400,44900,45400,44900,45400,44900,44900,44900,44900,44900,44400,44400,44400,44400,44400,44400,43900,43900,43400,,,,,,,T0000195,SD
short,0.0076,,,,,,,,,,,,,,,,,,49800,49800,49800,50200,50200,50200,50200,50200,50200,50200,50700,50700,50700,50700,50700,50700,,,,,,,,,,,,,,,,,,T0000195,SD
flat-mz,0.0721,,,39000,39000,39500,39500,39500,,39500,40000,40000,39500,40000,40000,40000,40000,40500,,,,,,,,,,,,,,,,,,,44400,43400,43900,43400,43400,42900,42900,41900,,40000,39500,39500,39000,39000,,T0000195,SD
flat,0.0783,50700,51200,51700,,,,,,,,,,,45800,45800,45800,45800,45400,45400,45800,45800,46300,46800,46800,47800,48300,48300,48300,48300,48300,48300,48300,48800,48800,48800,49300,49300,49300,49800,49300,49300,49300,49300,49300,48800,48800,48300,47800,46300,,T0000195,SD
flat,0.0168,38500,38500,38500,39000,39000,39000,39000,39000,39500,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40000,40500,40500,,,,,,,40500,40500,40500,40500,40000,40000,40000,40000,40000,40000,,,,,,T0000195,SD
flat,0.0317,38500,38500,38500,38500,38500,39000,39000,38500,39000,39500,39500,39000,39000,39000,39000,39000,39000,39000,39500,39500,39500,39500,39500,39000,39000,39000,39500,39500,39500,39000,39000,39000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,39000,39000,39000,39000,38500,,T0000195,SD
flat,0.0245,,,,,,,,,,38500,38500,38500,38500,39000,39000,39000,39500,39000,39500,39000,39500,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,,,,T0000195,SD
flat,0.0317,,44900,44900,45400,45400,45400,45400,45400,45800,45400,45400,,,,,,45800,46300,46300,46800,46800,46800,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,45800,45800,46300,44900,44400,44400,44400,43900,T0000195,SD
upward ramp,0.0455,,,41900,42900,42900,43400,43900,43900,44400,44900,44900,44900,45400,45400,45800,45800,45800,45800,46300,46300,46300,46300,46800,46800,46800,46800,47300,47300,47300,47300,47800,47800,47800,47800,48300,48300,48300,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,T0000195,SD
short-c,0.0092,,,,80000,80000,80000,80000,80000,80000,80500,80500,81000,81000,81000,81500,81500,81500,81500,81500,81500,82000,82000,82000,82000,82000,,,,82500,82500,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,83000,,,,T0000195,SD
short,0.0097,54600,54600,54600,54600,54600,54600,54600,54600,,,,,,,,,,,,,,53700,53700,53700,53700,53700,53700,53700,53700,53200,53200,52700,52700,52700,52700,52700,52700,52700,52700,52200,52200,52200,52200,52200,51700,51700,51700,,,,T0000195,SD
short,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800,49800,49800,49800,49800,49800,49800,,,,,,,,,,,,,,,,T0000195,SD
flat,0.0547,,,,,,,52700,,,,,,,,,,,,,,,,,,,,,23900,,,,,,,,,50200,,,,,,,,65400,,,,,,T0000195,SD
flat,0.2524,,47300,48300,48800,48800,48800,48800,48300,48300,48300,48300,47800,47300,46800,46800,46800,46800,46300,46300,45800,46300,46300,45800,45800,45800,45800,45800,45400,,45400,45400,44900,45400,,,45400,,45800,45800,45800,45800,45800,45800,,,,,44400,,44400,T0000195,SD
flat-z,0.2565,,,44900,45400,45400,26800,45800,45800,45400,,,,44900,,,44900,44900,44900,,44400,44900,43900,,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,43900,43900,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44400,43400,T0000195,SD
flat,0.2549,,40000,40500,,40500,40500,,40000,,,41000,43900,43400,,,42400,42400,42400,42900,,42400,,42400,42400,42400,41900,42400,42400,42400,41500,41900,41500,41000,,41000,,41500,,,,,,,,,41500,41000,40500,,,T0000195,SD
flat,0.1704,,,39500,39500,39500,40000,40000,40000,40000,40000,40000,40500,40000,40000,40500,40500,40500,40500,40500,40500,41000,41000,,43400,43400,,42900,43400,43400,43400,43400,42900,43400,42900,43400,42900,,,42900,42900,42400,42400,42400,42400,41900,41500,41000,40500,40000,40000,T0000195,SD
flat-z,0.2329,,39500,39500,40000,40000,41000,40500,41000,,,,42900,,,42400,42400,43400,,,,,,,,,,,,43400,44400,44400,44900,44900,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,,,44400,40500,40000,39500,,T0000195,SD
flat,0.1633,39500,40000,40000,40000,40500,40500,40500,40000,40000,40000,,40000,40000,40000,40000,40000,40000,40000,14600,40000,40000,40000,39500,39500,39500,39500,39500,39500,39500,,,39500,,,39500,40000,,,40000,39500,40000,39500,39500,39500,40000,40000,,39500,,,T0000195,SD
flat-mz,0.1413,,,40500,,40500,41000,,,41900,41900,,,,41500,41500,41000,,,,,,,,,41500,,,,,,,,,,44900,44900,44400,44900,44400,44400,43900,44400,44400,,,43900,43900,,39500,,T0000195,SD
flat,0.1054,39500,40500,40500,40500,40500,,,,41000,41000,41000,40500,41000,41000,41000,41000,,,41000,65400,,,41000,41000,41000,40500,40500,41000,40500,40500,40500,40500,40500,40500,40500,40000,,,,39500,,,,,,,,,,,T0000195,SD
flat,0.1264,,39500,40000,,40500,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,,,,40500,40500,40500,40000,40000,40500,40000,40500,40000,,,40000,40500,40500,40500,40500,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40000,39500,,,T0000195,SD
flat,0.0814,40000,40000,40000,40500,,,40500,40500,40500,40500,40500,40500,41000,41000,41000,41000,41000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,,,40000,40500,40000,40000,40000,39500,39500,39500,,T0000195,SD
flat-mz,0.0916,,,,,,40500,40500,41000,40500,41000,41500,,,,,,,,,,42900,42400,,,,,40000,,,,,,,,,,,,,,,,,,,,,39500,,,T0000195,SD
flat,0.0501,,,,,,39000,,,,,,,,,,,,,,,,39500,65400,39500,39500,,,,,40000,,,,65400,,,,,40000,,,,,,40000,,,,,,T0000195,SD
flat,0.0824,,,38500,,,,,,,,,,,,,,,,,,,,,,,,,,,39500,39000,39500,39500,39500,,39500,39500,39500,,,,,39500,40000,40000,40000,40000,40500,40000,,T0000195,SD
flat,0.0762,,,,,,,39500,39500,39500,40000,,39500,40000,40000,,40000,40000,40000,40000,40000,40000,40000,40000,40500,40000,40500,40500,40500,40500,40000,40500,40500,40500,40500,40500,40000,40500,41000,40500,40000,,,,,,40500,,,,,T0000195,SD
flat,0.0245,,,,,,,41000,,,,,,19500,,,,,,,,,,,,,,,,,,,,42400,,41500,41500,41500,41900,41900,41000,,41000,41000,,,,,,,,T0000195,SD
flat-z,0.0547,,,41900,42400,,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,42900,42900,,,42400,42400,42400,41900,41900,41900,41900,41500,41500,41500,41500,41000,41000,38500,38500,38500,38500,38000,38000,38000,38000,37500,37500,,T0000195,SD
flat,0.0808,,38500,38500,38500,38500,38500,39000,39000,39000,39500,39500,39000,39000,39000,39000,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,37500,37500,37500,,,T0000195,SD
flat,0.2631,41900,46800,47300,47300,46800,46300,46300,46300,46300,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,46300,46800,46800,46800,46800,46800,46800,46300,46300,46300,46300,45800,45800,45800,45800,45800,44900,,44900,,44400,44400,38500,T0000195,SD
flat-z,0.2503,,,,41000,40500,,,40500,40500,81000,40000,41000,46300,46300,46300,46300,46800,47300,47300,47300,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47800,47300,47300,47300,47300,47300,46800,46300,46300,45400,T0000195,SD
flat-mz,0.2621,,40500,45800,46300,46300,46300,46300,45800,45800,45800,45400,41000,41000,41000,41000,40500,40500,,45800,45800,45400,45400,45400,44900,44900,44900,45400,45400,45400,45800,45800,45800,45800,46300,46300,46300,46800,46800,47300,47300,47300,47300,47300,,47300,47300,47300,47300,46800,39000,T0000195,SD
